yr,quarter,countryi,countryj,exp_ij,wdist_ij,gdp_i,gdp_j,gdpcap_i,gdpcap_j,pop_i,pop_j,price_pi,price_pj,tr_mbs,cdt_mbs,WBCNon_NC,contig,com_lang,landlci,landlcj,Ke_ntb_ug1,Ke_ntb_eac1,Rw_ntb_ke,Ke_ntb_eac2,,,,,,,,,,,,,,,,
2020,Q3,KEN,UG,203698802,688,23.5359,10.5716,455,240,51726263,44052258,108,3690,48,110,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q4,KEN,UG,174169300,688,25.7673,9.9973,496,225,51985780,44404611,109,3697,43,113,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q1,KEN,UG,208429548,688,26.9973,9.5650,516,214,52276094,44787780,110,3673,57,93,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q2,KEN,UG,218785949,688,28.2774,10.4160,538,231,52518145,45140331,108,3572,45,108,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q3,KEN,UG,173065966,688,26.9979,11.5194,512,253,52761316,45495656,109,3538,44,73,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q4,KEN,UG,235049149,688,28.0614,11.1363,529,243,53005614,45853778,112,3562,49,74,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q1,KEN,UG,162285156,688,25.5882,13.6409,480,296,53282780,46093547,119,3557,68,51,5.41,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q2,KEN,UG,190193750,688,26.3049,12.5046,491,270,53561396,46334571,123,3696,62,51,6.69,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q3,KEN,UG,219685156,688,25.7159,11.8638,478,255,53841468,46576854,126,3834,48,20,2.87,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q4,KEN,UG,188892188,688,26.9805,13.598,499,290,54123005,46820404,128,3748,18,27,1.99,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q1,KEN,UG,242569531,688,29.0096,15.235,533,324,54406014,47065228,130,3724,23,42,5.77,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q2,KEN,UG,244145313,688,29.4666,14.0015,539,296,54690503,47311332,133,3721,19,37,7.33,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q3,KEN,UG,269750000,688,28.1027,13.4381,511,283,54976480,47558723,135,3695,17,35,6.98,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2023,Q4,KEN,UG,229868750,688,29.9815,14.771,543,309,55263952,47807408,137,3791,21,42,5.79,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q1,KEN,UG,260484375,688,30.9074,16.8137,556,350,55552927,48057393,138,3870,22,37,6.94,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q2,KEN,UG,256694531,688,31.4302,15.4919,563,321,55843414,48308685,139,3773,20,38,6.48,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q3,KEN,UG,268074219,688,30.1979,15.3886,538,317,56135419,48561291,140,3702,17,36,6.29,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2024,Q4,KEN,UG,259182813,688,33.258,16.5665,589,339,56428951,48815218,141,3672,31,52,6.99,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q1,RWA,KEN,1659933,1201,2.2399,19.9780,187,415,12009263,48188271,824,103,43,77,13,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q2,RWA,KEN,4931661,1201,2.2989,20.9154,190,432,12082508,48440240,834,103,47,95,13,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q3,RWA,KEN,4921706,1201,2.3092,20.4307,190,420,12156199,48693526,842,104,44,136,13,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q4,RWA,KEN,4752033,1201,2.3330,20.7195,191,423,12230339,48948137,852,103,47,90,14,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q1,RWA,KEN,3197262,1201,2.3621,22.4538,192,456,12310059,49231724,858,102,48,92,15,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q2,RWA,KEN,3257376,1201,2.3701,23.6403,191,478,12383536,49471085,868,101,46,93,21,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,
